Date,ZAR,EUR,USD
07-12-2022,18.04816,1,1.051293
08-12-2022,18.1312,1,1.055853
09-12-2022,18.304323,1,1.054736
10-12-2022,18.303415,1,1.054685
11-12-2022,18.261483,1,1.052177
12-12-2022,18.532316,1,1.054141
13-12-2022,18.32901,1,1.062632
14-12-2022,18.335649,1,1.067634
15-12-2022,18.632898,1,1.063886
16-12-2022,18.690454,1,1.059714
17-12-2022,18.694687,1,1.059939
18-12-2022,18.698697,1,1.058403
19-12-2022,18.411954,1,1.061348
20-12-2022,18.403108,1,1.06253
21-12-2022,18.240815,1,1.060839
22-12-2022,18.187163,1,1.060165
23-12-2022,18.146149,1,1.066548
24-12-2022,18.150021,1,1.066776
25-12-2022,18.146204,1,1.066782
26-12-2022,18.125592,1,1.063988
27-12-2022,18.304378,1,1.063683
28-12-2022,18.180583,1,1.062869
29-12-2022,18.056842,1,1.066155
30-12-2022,18.260131,1,1.072673
31-12-2022,18.260019,1,1.072673
01-01-2023,18.18636,1,1.070452
02-01-2023,18.158938,1,1.067737
03-01-2023,17.95755,1,1.054652
04-01-2023,17.91269,1,1.060839
05-01-2023,18.061825,1,1.052192
06-01-2023,18.243362,1,1.066382
07-01-2023,18.243351,1,1.066382
08-01-2023,18.248421,1,1.065598
09-01-2023,18.119907,1,1.073445
10-01-2023,18.159566,1,1.07386
11-01-2023,18.21996,1,1.076414
12-01-2023,18.161928,1,1.085977
13-01-2023,18.234553,1,1.084775
14-01-2023,18.233946,1,1.084775
15-01-2023,18.201009,1,1.082427
16-01-2023,18.47339,1,1.082978
17-01-2023,18.413495,1,1.078737
18-01-2023,18.49065,1,1.079727
19-01-2023,18.735545,1,1.083506
20-01-2023,18.610522,1,1.087661
21-01-2023,18.616627,1,1.087725
22-01-2023,18.602925,1,1.086461
23-01-2023,18.678935,1,1.087217
24-01-2023,18.627395,1,1.088779
25-01-2023,18.704177,1,1.092167
26-01-2023,18.711817,1,1.089448
27-01-2023,18.704209,1,1.087251
28-01-2023,18.704183,1,1.087251
29-01-2023,18.708475,1,1.08711
